terms_conditions,type_independent_activity_id,incomes,extra_incomes,familiar_debts,is_tax_return,region_id,name,name.1,viability,is_selected,has_region_id,has_date_exp_token,year_exp_token,month_exp_token,day_exp_token,year_birth,month_birth,day_birth,has_extra_incomes,has_familiar_debts,age,age_section
1,1,14.220976332738882,13.45883704259595,0.0,0,26.0,"wholesale and retail, auto repair",employee,1,0,True,True,2022,11,25,1998,5,30,0,1,24,less 40
0,1,15.38033408551434,0.0,0.0,1,1.0,"wholesale and retail, auto repair",employee,1,1,True,True,2023,1,16,1984,7,8,1,1,38,less 40
0,1,16.012735246411598,13.815511557963774,0.0,1,-1,"wholesale and retail, auto repair",employee,1,1,True,False,2023,1,16,1985,2,14,0,1,37,less 40
0,1,15.894952224644102,0.0,0.0,1,0.0,"wholesale and retail, auto repair",employee,1,1,False,False,2023,1,16,1997,1,9,1,1,25,less 40
1,1,16.012735246411598,13.815511557963774,13.815511557963774,1,1.0,"wholesale and retail, auto repair",employee,1,1,True,True,2023,1,23,1997,1,9,0,0,25,less 40
1,1,16.52356082573315,0.0,0.0,1,13.0,"wholesale and retail, auto repair",employee,0,0,True,True,2023,3,8,1970,9,16,1,1,52,more 40
1,1,16.811242881518265,0.0,13.815511557963774,1,1.0,"wholesale and retail, auto repair",employee,0,0,True,True,2023,4,5,1998,3,2,1,0,24,less 40
0,1,15.882373444019521,16.705882371415992,12.611541086966115,1,1.0,"wholesale and retail, auto repair",retired,1,1,True,False,2023,4,5,1962,3,18,0,0,60,more 40
1,1,16.077273760604726,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,1,False,False,2023,4,5,1969,9,11,1,1,53,more 40
1,1,16.811242881518265,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1974,9,8,1,1,48,more 40
1,1,16.447399470043365,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1988,2,25,1,1,34,less 40
1,1,16.012735246411598,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1991,3,12,1,1,31,less 40
1,1,15.486451388752402,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1995,7,17,1,1,27,less 40
1,1,16.52356082573315,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,0,0,False,False,2023,4,5,1962,3,27,1,1,60,more 40
1,1,16.300417291085605,0.0,12.206077645517674,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1994,10,15,1,0,28,less 40
1,1,16.173725986770382,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1963,2,19,1,1,59,more 40
1,1,16.176364653421913,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2023,4,5,1977,11,6,1,1,45,more 40
1,1,15.123843647884687,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1984,4,21,1,1,38,less 40
1,1,16.627920834450784,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1982,4,22,1,1,40,more 40
1,1,14.914123179965662,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1989,7,3,1,1,33,less 40
1,1,16.380459992348886,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1982,4,28,1,1,40,more 40
1,1,17.50439003707821,0.0,0.0,1,0.0,"wholesale and retail, auto repair",independent,1,0,False,False,2023,4,5,1982,3,5,1,1,40,more 40
